# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
0.2	2.42331
0.25	1.91189
0.3	1.49115
0.35	1.13336
0.4	0.821771
0.45	0.545679
0.5	0.297693
0.55	0.0725255
0.6	-0.13374
0.65	-0.324086
0.7	-0.500837
0.75	-0.665841
0.8	-0.82059
0.85	-0.966308
0.9	-1.10401
0.95	-1.23455
1	-1.35865
1.05	-1.33734
1.1	-1.31516
1.15	-1.292
1.2	-1.26776
1.25	-1.24234
1.3	-1.21559
1.35	-1.18734
1.4	-1.15738
1.45	-1.12546
1.5	-1.09127
1.55	-1.05439
1.6	-1.0143
1.65	-0.970276
1.7	-0.921288
1.75	-0.86583
1.8	-0.801505
1.85	-0.724112
1.9	-0.625025
1.95	-0.480281
2	0


# betaDeltaG0strong = -19
0.05	5.39702
0.1	3.81618
0.15	2.87405
0.2	2.19711
0.25	1.667
0.3	1.2305
0.35	0.859027
0.4	0.535418
0.45	0.248548
0.5	-0.00921263
0.55	-0.243327
0.6	-0.457844
0.65	-0.65585
0.7	-0.839749
0.75	-1.01146
0.8	-1.17251
0.85	-1.32419
0.9	-1.46754
0.95	-1.60345
1	-1.73266
1.05	-1.7064
1.1	-1.67902
1.15	-1.65039
1.2	-1.62038
1.25	-1.58885
1.3	-1.55561
1.35	-1.52043
1.4	-1.48305
1.45	-1.44315
1.5	-1.4003
1.55	-1.35397
1.6	-1.30346
1.65	-1.24781
1.7	-1.1857
1.75	-1.11511
1.8	-1.03287
1.85	-0.933414
1.9	-0.805265
1.95	-0.616536
2	0


# betaDeltaG0strong = -18
0.05	5.26195
0.1	3.62447
0.15	2.64632
0.2	1.94272
0.25	1.39132
0.3	0.937064
0.35	0.550351
0.4	0.213388
0.45	-0.0853657
0.5	-0.353831
0.55	-0.597682
0.6	-0.821129
0.65	-1.02738
0.7	-1.21893
0.75	-1.39777
0.8	-1.56552
0.85	-1.72349
0.9	-1.87278
0.95	-2.01431
1	-2.14885
1.05	-2.11758
1.1	-2.08491
1.15	-2.05069
1.2	-2.01476
1.25	-1.97693
1.3	-1.93696
1.35	-1.89457
1.4	-1.84942
1.45	-1.8011
1.5	-1.74906
1.55	-1.69264
1.6	-1.63092
1.65	-1.56269
1.7	-1.48621
1.75	-1.39891
1.8	-1.29668
1.85	-1.17229
1.9	-1.01084
1.95	-0.77085
2	0


# betaDeltaG0strong = -17
0.05	5.13838
0.1	3.43591
0.15	2.41759
0.2	1.68478
0.25	1.11043
0.3	0.637299
0.35	0.234572
0.4	-0.116278
0.45	-0.427277
0.5	-0.706681
0.55	-0.960408
0.6	-1.19285
0.65	-1.40735
0.7	-1.60651
0.75	-1.79242
0.8	-1.96676
0.85	-2.1309
0.9	-2.28598
0.95	-2.43297
1	-2.57268
1.05	-2.53677
1.1	-2.49919
1.15	-2.45976
1.2	-2.41828
1.25	-2.37451
1.3	-2.32818
1.35	-2.27892
1.4	-2.22634
1.45	-2.16991
1.5	-2.10897
1.55	-2.04268
1.6	-1.96993
1.65	-1.88921
1.7	-1.79834
1.75	-1.69413
1.8	-1.57143
1.85	-1.42115
1.9	-1.22454
1.95	-0.929228
2	0


# betaDeltaG0strong = -16
0.05	5.06534
0.1	3.29216
0.15	2.23173
0.2	1.46906
0.25	0.871687
0.3	0.379907
0.35	-0.0384407
0.4	-0.402693
0.45	-0.725403
0.5	-1.01519
0.55	-1.27822
0.6	-1.51909
0.65	-1.74127
0.7	-1.9475
0.75	-2.13993
0.8	-2.32032
0.85	-2.49011
0.9	-2.65049
0.95	-2.80245
1	-2.94684
1.05	-2.90713
1.1	-2.86551
1.15	-2.82177
1.2	-2.77568
1.25	-2.72696
1.3	-2.67529
1.35	-2.62025
1.4	-2.56136
1.45	-2.49801
1.5	-2.42943
1.55	-2.35462
1.6	-2.27226
1.65	-2.18055
1.7	-2.07692
1.75	-1.95753
1.8	-1.81622
1.85	-1.64208
1.9	-1.41247
1.95	-1.06424
2	0


# betaDeltaG0strong = -15
0.05	5.10213
0.1	3.25723
0.15	2.1558
0.2	1.36477
0.25	0.745916
0.3	0.236949
0.35	-0.195657
0.4	-0.57205
0.45	-0.905304
0.5	-1.20439
0.55	-1.47572
0.6	-1.72408
0.65	-1.95308
0.7	-2.16555
0.75	-2.36374
0.8	-2.54947
0.85	-2.72423
0.9	-2.88925
0.95	-3.04558
1	-3.19409
1.05	-3.15174
1.1	-3.10731
1.15	-3.06057
1.2	-3.01125
1.25	-2.95906
1.3	-2.90362
1.35	-2.84449
1.4	-2.78111
1.45	-2.71282
1.5	-2.63875
1.55	-2.55778
1.6	-2.46843
1.65	-2.36868
1.7	-2.25564
1.75	-2.12496
1.8	-1.9697
1.85	-1.77748
1.9	-1.52268
1.95	-1.134
2	0


# betaDeltaG0strong = -14
0.05	5.32077
0.1	3.40822
0.15	2.26941
0.2	1.45296
0.25	0.815047
0.3	0.290921
0.35	-0.154214
0.4	-0.541257
0.45	-0.883751
0.5	-1.19099
0.55	-1.46961
0.6	-1.72454
0.65	-1.95953
0.7	-2.1775
0.75	-2.38078
0.8	-2.57124
0.85	-2.75041
0.9	-2.91958
0.95	-3.07981
1	-3.232
1.05	-3.18838
1.1	-3.14259
1.15	-3.09439
1.2	-3.04352
1.25	-2.98964
1.3	-2.93238
1.35	-2.87126
1.4	-2.80572
1.45	-2.73503
1.5	-2.65831
1.55	-2.57436
1.6	-2.48165
1.65	-2.37804
1.7	-2.2605
1.75	-2.12449
1.8	-1.96269
1.85	-1.76219
1.9	-1.49633
1.95	-1.09194
2	0


# betaDeltaG0strong = -13
0.05	5.77632
0.1	3.80337
0.15	2.63171
0.2	1.79298
0.25	1.13831
0.3	0.600772
0.35	0.144473
0.4	-0.252133
0.45	-0.602997
0.5	-0.917676
0.55	-1.20301
0.6	-1.46405
0.65	-1.70466
0.7	-1.92783
0.75	-2.13595
0.8	-2.33095
0.85	-2.51439
0.9	-2.68759
0.95	-2.85164
1	-3.00747
1.05	-2.96407
1.1	-2.91853
1.15	-2.87061
1.2	-2.82004
1.25	-2.76652
1.3	-2.70965
1.35	-2.64898
1.4	-2.58396
1.45	-2.51388
1.5	-2.43787
1.55	-2.35478
1.6	-2.26312
1.65	-2.16082
1.7	-2.04498
1.75	-1.91123
1.8	-1.75265
1.85	-1.55711
1.9	-1.29998
1.95	-0.915894
2	0


# betaDeltaG0strong = -12
0.05	6.46339
0.1	4.43738
0.15	3.2364
0.2	2.37734
0.25	1.70699
0.3	1.15665
0.35	0.689476
0.4	0.283376
0.45	-0.0759372
0.5	-0.398249
0.55	-0.690558
0.6	-0.95804
0.65	-1.20464
0.7	-1.43341
0.75	-1.64681
0.8	-1.84679
0.85	-2.03497
0.9	-2.21267
0.95	-2.38103
1	-2.541
1.05	-2.49951
1.1	-2.45602
1.15	-2.41033
1.2	-2.36219
1.25	-2.3113
1.3	-2.25734
1.35	-2.19989
1.4	-2.13845
1.45	-2.07239
1.5	-2.00095
1.55	-1.92312
1.6	-1.8376
1.65	-1.74259
1.7	-1.63561
1.75	-1.513
1.8	-1.36902
1.85	-1.19386
1.9	-0.968374
1.95	-0.645096
2	0


# betaDeltaG0strong = -11
0.05	7.30603
0.1	5.2311
0.15	4.00145
0.2	3.12154
0.25	2.43456
0.3	1.87022
0.35	1.39087
0.4	0.973926
0.45	0.604803
0.5	0.273502
0.55	-0.0271231
0.6	-0.302362
0.65	-0.556237
0.7	-0.791884
0.75	-1.01179
0.8	-1.21796
0.85	-1.41205
0.9	-1.59542
0.95	-1.76921
1	-1.9344
1.05	-1.89677
1.1	-1.85742
1.15	-1.8162
1.2	-1.77289
1.25	-1.72727
1.3	-1.67907
1.35	-1.62796
1.4	-1.57354
1.45	-1.51534
1.5	-1.45275
1.55	-1.38502
1.6	-1.31117
1.65	-1.22988
1.7	-1.13937
1.75	-1.03708
1.8	-0.919131
1.85	-0.779225
1.9	-0.605887
1.95	-0.373949
2	0


# betaDeltaG0strong = -10
0.05	8.2063
0.1	6.08049
0.15	4.81862
0.2	3.9142
0.25	3.20705
0.3	2.62539
0.35	2.13073
0.4	1.70003
0.45	1.31835
0.5	0.97548
0.55	0.664098
0.6	0.378795
0.65	0.115452
0.7	-0.129143
0.75	-0.357538
0.8	-0.571795
0.85	-0.7736
0.9	-0.964356
0.95	-1.14524
1	-1.31724
1.05	-1.28561
1.1	-1.25269
1.15	-1.21835
1.2	-1.18248
1.25	-1.1449
1.3	-1.10545
1.35	-1.0639
1.4	-1.02001
1.45	-0.973458
1.5	-0.923888
1.55	-0.870837
1.6	-0.813729
1.65	-0.751822
1.7	-0.684137
1.75	-0.609338
1.8	-0.525528
1.85	-0.429861
1.9	-0.31772
1.95	-0.180698
2	0


# betaDeltaG0strong = -9
0.05	9.08946
0.1	6.90305
0.15	5.60063
0.2	4.66467
0.25	3.93132
0.3	3.32706
0.35	2.81244
0.4	2.36382
0.45	1.96583
0.5	1.60799
0.55	1.28275
0.6	0.984551
0.65	0.709131
0.7	0.453182
0.75	0.214069
0.8	-0.010336
0.85	-0.22178
0.9	-0.421712
0.95	-0.61135
1	-0.791728
1.05	-0.767993
1.1	-0.743459
1.15	-0.718066
1.2	-0.691743
1.25	-0.664414
1.3	-0.635988
1.35	-0.606364
1.4	-0.575424
1.45	-0.543031
1.5	-0.509023
1.55	-0.473208
1.6	-0.435355
1.65	-0.395181
1.7	-0.352337
1.75	-0.30638
1.8	-0.256733
1.85	-0.202627
1.9	-0.142995
1.95	-0.0762716
2	0


# betaDeltaG0strong = -8
0.05	9.90502
0.1	7.64035
0.15	6.28507
0.2	5.30831
0.25	4.54148
0.3	3.90876
0.35	3.36937
0.4	2.89881
0.45	2.48116
0.5	2.1055
0.55	1.76399
0.6	1.45083
0.65	1.16158
0.7	0.892788
0.75	0.641694
0.8	0.406071
0.85	0.18409
0.9	-0.0257683
0.95	-0.224781
1	-0.414033
1.05	-0.398838
1.1	-0.383278
1.15	-0.36733
1.2	-0.350973
1.25	-0.334182
1.3	-0.316929
1.35	-0.299184
1.4	-0.280913
1.45	-0.26208
1.5	-0.242641
1.55	-0.222551
1.6	-0.201754
1.65	-0.18019
1.7	-0.157788
1.75	-0.134467
1.8	-0.110131
1.85	-0.0846673
1.9	-0.0579406
1.95	-0.0297861
2	0


# betaDeltaG0strong = -7
