# d (nm)	h (nm)	F (kT)
# Total number of tethers: 8
29.7436	16.9211	0
29.7436	17.9474	0
29.7436	18.9737	0
29.7436	20	0

31.7949	0.5	20.8024
31.7949	1.52632	12.7806
31.7949	2.55263	9.02259
31.7949	3.57895	6.50673
31.7949	4.60526	4.57396
31.7949	5.63158	2.89621
31.7949	6.65789	1.64014
31.7949	7.68421	0.696007
31.7949	8.71053	1.10442
31.7949	9.73684	0.213346
31.7949	10.7632	0
31.7949	11.7895	0
31.7949	12.8158	0
31.7949	13.8421	0
31.7949	14.8684	0
31.7949	15.8947	0
31.7949	16.9211	0
31.7949	17.9474	0
31.7949	18.9737	0
31.7949	20	0

33.8462	0.5	23.9659
33.8462	1.52632	15.0378
33.8462	2.55263	10.9237
33.8462	3.57895	8.22013
33.8462	4.60526	6.20308
33.8462	5.63158	4.59356
33.8462	6.65789	3.25425
33.8462	7.68421	2.10734
33.8462	8.71053	1.10442
33.8462	9.73684	0.213346
33.8462	10.7632	0
33.8462	11.7895	0
33.8462	12.8158	0
33.8462	13.8421	0
33.8462	14.8684	0
33.8462	15.8947	0
33.8462	16.9211	0
33.8462	17.9474	0
33.8462	18.9737	0
33.8462	20	0

35.8974	0.5	23.9659
35.8974	1.52632	15.0378
35.8974	2.55263	10.9237
35.8974	3.57895	8.22013
35.8974	4.60526	6.20308
35.8974	5.63158	4.59356
35.8974	6.65789	3.25425
35.8974	7.68421	2.10734
35.8974	8.71053	1.10442
35.8974	9.73684	0.213346
35.8974	10.7632	0
35.8974	11.7895	0
35.8974	12.8158	0
35.8974	13.8421	0
35.8974	14.8684	0
35.8974	15.8947	0
35.8974	16.9211	0
35.8974	17.9474	0
35.8974	18.9737	0
35.8974	20	0

37.9487	0.5	23.9659
37.9487	1.52632	15.0378
37.9487	2.55263	10.9237
37.9487	3.57895	8.22013
37.9487	4.60526	6.20308
37.9487	5.63158	4.59356
37.9487	6.65789	3.25425
37.9487	7.68421	2.10734
37.9487	8.71053	1.10442
37.9487	9.73684	0.213346
37.9487	10.7632	0
37.9487	11.7895	0
37.9487	12.8158	0
37.9487	13.8421	0
37.9487	14.8684	0
37.9487	15.8947	0
37.9487	16.9211	0
37.9487	17.9474	0
37.9487	18.9737	0
37.9487	20	0

40	0.5	23.9659
40	1.52632	15.0378
40	2.55263	10.9237
40	3.57895	8.22013
40	4.60526	6.20308
40	5.63158	4.59356
40	6.65789	3.25425
40	7.68421	2.10734
40	8.71053	1.10442
40	9.73684	0.213346
40	10.7632	0
40	11.7895	0
40	12.8158	0
40	13.8421	0
40	14.8684	0
40	15.8947	0
40	16.9211	0
40	17.9474	0
40	18.9737	0
40	20	0

